#10000,100,,,,,,,,,,,,,,,,,,,
Index,AccelX_H,AccelX_L,AccelY_H,AccelY_L,AccelZ_H,AccelZ_L,GyroX_H,GyroX_L,GyroY_H,GyroY_L,GyroZ_H,GyroZ_L,MagX_H,MagX_L,MagY_H,MagY_L,MagZ_H,MagZ_L,Temp_H,Temp_L
85,3,BC,FC,61,6,71,FF,93,0,1E,1,43,0,0,0,0,0,0,D,50
86,3,EB,FC,A3,5,B2,FF,98,0,88,1,6F,0,0,0,0,0,0,D,D0
87,3,AF,FC,9E,6,10,FE,F4,0,6C,2,2B,0,0,0,0,0,0,E,10
88,3,87,FC,34,5,54,FE,2C,0,2E,3,28,0,0,0,0,0,0,D,90
89,3,B8,FC,5D,5,A3,FE,6,0,79,4,2E,0,0,0,0,0,0,D,D0
90,3,BA,FC,48,6,17,FD,44,1,2F,4,FD,0,0,0,0,0,0,D,70
91,3,C6,FC,50,6,A7,FC,5,3,19,4,AC,0,0,0,0,0,0,D,A0
92,1,9D,FC,38,6,78,FC,A3,2,CA,4,6D,0,0,0,0,0,0,D,C0
93,2,BE,FB,21,6,92,FD,A8,2,7D,3,53,0,0,0,0,0,0,D,A0
94,3,2F,FB,47,6,6F,0,E1,1,7D,2,95,0,0,0,0,0,0,D,A0
95,3,42,FB,4C,7,3D,1,8,2,15,2,90,0,0,0,0,0,0,D,C0
96,2,FC,FB,8A,7,4B,2,C0,2,44,2,C9,0,0,0,0,0,0,D,C0
97,2,97,FB,F1,7,49,4,34,2,77,2,93,0,0,0,0,0,0,D,C0
98,2,2E,FC,60,7,23,3,CA,2,A3,2,84,0,0,0,0,0,0,D,70
99,1,92,FC,86,7,28,3,B4,2,6F,2,8,0,0,0,0,0,0,E,0
100,1,83,FC,3D,6,F9,3,D1,2,39,1,95,0,0,0,0,0,0,E,0
101,1,8B,FC,74,6,FD,4,70,2,C5,1,58,0,0,0,0,0,0,D,A0
102,1,3A,FD,18,7,AD,4,A,2,B0,1,11,0,0,0,0,0,0,D,70
103,0,DF,FD,7A,7,DA,3,F3,2,77,0,A2,0,0,0,0,0,0,D,60
104,0,BC,FD,83,7,DC,3,68,2,90,0,3F,0,0,0,0,0,0,D,C0
105,0,95,FD,8C,8,7,3,58,2,6B,FF,D3,0,0,0,0,0,0,D,C0
106,0,71,FD,7B,8,2D,3,5E,2,31,FF,A4,0,0,0,0,0,0,D,60
107,0,B9,FD,94,8,F,3,CC,2,9,FF,3F,0,0,0,0,0,0,D,D0
108,0,D6,FE,32,8,1,3,4D,2,4C,FF,25,0,0,0,0,0,0,D,60
109,0,B2,FE,25,8,6,2,91,1,FF,FF,2C,0,0,0,0,0,0,D,A0
110,0,BB,FE,3F,7,74,2,5B,1,DA,FF,5,0,0,0,0,0,0,D,50
111,0,99,FE,4B,7,2B,1,DD,2,4A,FE,DF,0,0,0,0,0,0,D,50
112,0,A5,FE,32,7,6F,1,C2,2,2A,FE,76,0,0,0,0,0,0,D,D0
113,0,EB,FE,52,7,70,2,5B,1,FB,FE,59,0,0,0,0,0,0,E,0
114,1,B,FE,14,7,1E,2,EC,2,46,FE,64,0,0,0,0,0,0,D,D0
115,0,BB,FE,60,6,ED,3,6E,2,51,FE,87,0,0,0,0,0,0,D,E0
116,0,A8,FE,C4,7,1A,2,F7,2,12,FE,B5,0,0,0,0,0,0,D,A0
117,0,B6,FE,93,7,53,3,68,2,5,FE,77,0,0,0,0,0,0,D,D0
118,0,D7,FE,D6,7,B0,3,9E,2,17,FE,82,0,0,0,0,0,0,D,C0
119,0,B2,FF,C,7,A0,3,8E,2,14,FE,A4,0,0,0,0,0,0,D,90
120,0,91,FE,FC,7,84,3,5A,2,3E,FE,DE,0,0,0,0,0,0,D,E0
121,0,84,FF,50,7,D8,3,15,2,21,FF,D,0,0,0,0,0,0,D,A0
122,0,87,FF,55,7,D7,2,E5,2,9,FF,40,0,0,0,0,0,0,D,C0
123,0,8D,FF,6A,8,45,2,5B,1,DC,FF,55,0,0,0,0,0,0,D,C0
124,0,61,FF,53,8,54,2,81,1,BF,FF,28,0,0,0,0,0,0,D,70
125,0,6A,FF,B4,8,2,0,7C,2,86,FF,1,0,0,0,0,0,0,D,E0
126,0,61,FE,D8,8,B3,FF,F,3,B9,0,A,0,0,0,0,0,0,D,E0
127,FF,BC,FE,44,8,36,0,63,3,24,FF,43,0,0,0,0,0,0,D,A0
128,FF,9A,FF,4D,8,1A,2,D6,1,72,FE,87,0,0,0,0,0,0,D,E0
129,FF,A3,FF,65,7,FA,3,1F,0,69,FE,9F,0,0,0,0,0,0,D,A0
130,FF,B8,FF,D8,7,B8,1,EB,FF,A0,FE,BF,0,0,0,0,0,0,D,60
